trade_date,stock_id,leader_id,sector_id,score_sector,score_leader,score_follow,score_total,suggest_entry,suggest_stop,position_value,shares,lots_1000,stock_name,market,themes
2025-12-26,2392,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.030146589784463433,0.9480317664763084,37.15,,,,,正崴,TWSE,UNKNOWN
2025-12-26,2371,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.026815169295865263,0.946699198280869,31.9,,,,,大同,TWSE,UNKNOWN
2025-12-26,6155,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.025356681525062222,0.9461158031725478,44.2,,,,,鈞寶,TWSE,UNKNOWN
2025-12-26,2034,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.024087645132262296,0.9456081886154278,20.9,,,,,允強,TWSE,UNKNOWN
2025-12-26,2231,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.023609022329672304,0.9454167394943919,94.0,,,,,為升,TWSE,UNKNOWN
2025-12-26,2204,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.023595962764543694,0.9454115156683405,60.1,,,,,中華,TWSE,UNKNOWN
2025-12-26,00904,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.023240095266234953,0.9452691686690169,22.61,,,,,新光臺灣半導體30,TWSE,UNKNOWN
2025-12-26,2458,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.02315461652723247,0.945234977173416,124.5,,,,,義隆,TWSE,UNKNOWN
2025-12-26,9939,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.019894355599656247,0.9439308728023854,119.0,,,,,宏全,TWSE,UNKNOWN
2025-12-26,8112,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.013419895284986966,0.9413410886765178,75.3,,,,,至上,TWSE,UNKNOWN
2025-12-26,6605,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.012329208466697529,0.940904813949202,141.5,,,,,帝寶,TWSE,UNKNOWN
2025-12-26,2498,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.010100816408287491,0.940013457125838,49.3,,,,,宏達電,TWSE,UNKNOWN
2025-12-26,2495,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.0066813702158679406,0.9386456786488702,31.75,,,,,普安,TWSE,UNKNOWN
2025-12-26,6206,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.0018202822329330959,0.9367012434556962,90.9,,,,,飛捷,TWSE,UNKNOWN
2025-12-26,6176,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.00020981317336619953,0.9360570558318695,128.5,,,,,瑞儀,TWSE,UNKNOWN
2025-12-26,2356,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.005642561109020342,0.9337161061189149,42.5,,,,,英業達,TWSE,UNKNOWN
2025-12-26,5521,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.00882255569774365,0.9324441082834255,25.3,,,,,工信,TWSE,UNKNOWN
2025-12-26,2481,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.023956623030872697,0.9263904813501739,80.4,,,,,強茂,TWSE,UNKNOWN
2025-12-26,2352,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.025848337069911423,0.9256337957345584,23.8,,,,,佳世達,TWSE,UNKNOWN
2025-12-26,3694,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.02837304479172118,0.9246239126458344,61.1,,,,,海華,TWSE,UNKNOWN
2025-12-26,3257,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.03038123088070438,0.9238206382102412,69.6,,,,,虹冠電,TWSE,UNKNOWN
2025-12-26,3305,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.03143799106481625,0.9233979341365964,109.0,,,,,昇貿,TWSE,UNKNOWN
2025-12-26,2543,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.03195135958856789,0.9231925867270958,62.0,,,,,皇昌,TWSE,UNKNOWN
2025-12-26,2891,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.031972752718764125,0.9231840294750173,49.8,,,,,中信金,TWSE,UNKNOWN
2025-12-26,4938,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.033558569438455116,0.9225497027871409,68.7,,,,,和碩,TWSE,UNKNOWN
2025-12-26,8131,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.034316562403474894,0.922246505601133,57.2,,,,,福懋科,TWSE,UNKNOWN
2025-12-26,3042,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.03532449737734938,0.9218433316115832,81.3,,,,,晶技,TWSE,UNKNOWN
2025-12-26,6278,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.03728140717195402,0.9210605676937413,92.9,,,,,台表科,TWSE,UNKNOWN
2025-12-26,4746,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.0408456253186794,0.9196348804350511,60.6,,,,,台耀,TWSE,UNKNOWN
2025-12-26,2630,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.04162659874178399,0.9193224910658093,53.4,,,,,亞航,TWSE,UNKNOWN
2025-12-26,3005,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.04631222360132964,0.9174482411219911,116.5,,,,,神基,TWSE,UNKNOWN
2025-12-26,6558,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.05677222403938033,0.9132642409467708,38.2,,,,,興能高,TWSE,UNKNOWN
2025-12-26,3702,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.05700353528686675,0.9131717164477763,57.2,,,,,大聯大,TWSE,UNKNOWN
2025-12-26,2347,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.05842712770400428,0.9126022794809212,57.6,,,,,聯強,TWSE,UNKNOWN
2025-12-26,4739,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.06375951033577605,0.9104693264282125,67.6,,,,,康普,TWSE,UNKNOWN
2025-12-26,4545,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.08092688942305334,0.9036023747933016,40.25,,,,,銘鈺,TWSE,UNKNOWN
2025-12-26,4915,6921,UNKNOWN,0.03144183939290973,3.699873947100018,-0.08585612910676872,0.9016306789198155,76.1,,,,,致伸,TWSE,UNKNOWN
